,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:01:25.173670-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:26.202441-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:27.171286-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:01:28.202713-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:29.187023-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:01:30.186810-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:31.205291-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:01:32.218232-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:01:33.186363-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:34.217536-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:01:35.202508-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:01:36.217623-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:37.229527-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:01:38.209907-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:01:39.217622-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:01:40.218312-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:41.218511-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:42.235561-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:43.235565-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:44.249662-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:45.218620-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:46.233544-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:47.248972-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:48.273148-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:49.281082-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:50.280615-05:00,1.1,1919.0,,13.33,0.9255
